year,"Agriculture, Forestry and Fishing",Forestry - Changes in Inventories,Mining,Manufacturing,"Electricity, Gas, Water and Waste Services","Services, Construction and Transport",Residential
1990,286.014581797683,-19.1157459757196,44.6382644601026,68.0201603429448,148.091316892745,40.5642285115184,49.4382028984488
1991,265.677885066856,-14.8147498989875,46.1145688823598,67.8853927108487,149.678596496897,36.7256738012931,48.9002497941918
1992,196.577215936643,-19.6892992998904,48.5299281646286,68.1474962183912,153.060671905079,45.5141870476719,49.5128642342711
1993,178.09381946872,-21.0713718754171,48.7549067378503,68.4814775782087,152.477531124297,46.4843195109685,50.5774028329965
1994,168.326671538369,-17.5761542462148,46.7344361564148,68.3260480371706,152.541299652418,44.0781536404023,50.9623968261273
1995,144.415152125794,-18.3090881336302,48.6539862921507,68.0802907429216,158.619246621534,44.0769893545276,52.4055366072308
1996,147.705896467819,-18.1052881529805,50.9726332591302,66.2329441939805,161.095245248897,45.7876656689996,53.2128107456123
1997,155.660015551406,-22.5625501461917,54.4276822904067,66.8966394481557,166.292131421032,38.043712737885,53.4115160499545
1998,140.232234549679,-22.5294465582742,55.4021008885419,67.4701304300182,178.116830706868,33.9245146600039,53.7178291347906
1999,151.436965101014,-21.9693916866775,53.0057127507183,68.7562571085388,183.758902843288,35.6141065053128,52.7882725025548
2000,153.814203858416,-19.6421498406215,56.301222884592,67.8564746555403,187.109385114777,45.6832296904148,54.2545938136045
2001,174.165970291316,-14.9374606440708,56.3719382956764,67.8571269737814,194.177396449781,43.2932701607673,55.0194452659666
2002,172.829430143248,-26.5291502148882,56.5554767325509,67.9450130813324,195.637690160116,43.9177796504441,57.036326770514
2003,172.040364891516,-20.1468780036365,54.4742340587689,72.3084539883279,196.744069323533,47.9769354444872,59.3271721804907
2004,165.93933811543,-23.6163866053867,55.8772576637505,73.6937460189477,204.705055369886,48.8009975822066,61.2756794244163
2005,199.327186704596,-26.9537865258652,58.4631194791993,72.8221644967467,206.069479613185,45.9697165256255,61.5177259158282
2006,189.630861153044,-30.7396338550824,59.7721447536852,71.7790285500381,210.406112806989,51.6660247351403,62.3369529773973
2007,192.502657665173,-32.2525452903456,61.8582095854871,74.0769435754962,213.156678489571,62.1970101566875,63.0643466654149
2008,170.751750856785,-32.9697174397728,62.231182861234,75.1889625254534,215.844914807132,68.6119152331795,63.6979389800817
2009,165.808324006083,-35.5341549965392,65.2424968385994,68.7786130145745,220.547036553863,67.4510592981138,63.8981443350725
2010,154.895106580851,-41.9472649244371,64.8842431423096,70.9645427690446,215.257079799233,65.0750492796225,64.408796835233
2011,138.223604552471,-48.1261756066652,66.2603611793686,71.3524191624616,207.927308990828,72.0573965845225,65.3340046234058
2012,140.097456260665,-56.0519163366926,68.8821817196573,68.9750630845204,206.941973055078,61.3847392783579,65.1038540274351
2013,139.096788527345,-56.8056053717698,72.3515937876013,67.702259171473,193.382109511772,59.7531182766011,65.1477374645341
2014,141.490246844259,-55.4167542978405,72.2493758342441,66.4131462303033,187.088234997975,61.0898920873918,66.8253837478399
2015,121.970800357782,-52.101178649508,76.0985372261191,62.1037572944047,194.959637730364,67.7475791751713,68.0420048637711
2016,104.818302879534,-53.515872476078,81.1988966807345,59.8028273842658,201.064339600328,65.1316094146506,67.6482526672066
2017,102.31545014593,-49.8048537473577,88.2575192590777,59.1643009988036,196.20039170468,64.435061533888,68.9186492710186
