,flag,message,link,source
84,BROKEN,HTTP response: 404,https://exercism.io/my/tracks/bash,.\Shell\shell_intro.qmd
79,BROKEN,FileNotFoundError,../../README.md#r-sessions,.\R\rstudio_intro\rstudio_intro.qmd
55,BROKEN,FileNotFoundError,/QGIS/intro/download-github.png,.\QGIS\raster\QGIS_raster.qmd
43,BROKEN,FileNotFoundError,QGIS/intro/QGIS_intro.qmd,.\QGIS\fieldwork\QGIS_fieldwork.qmd
83,BROKEN,HTTP response: 404,https://swcarpentry.github.io/shell-novice/data/data-shell.zip,.\Shell\shell_intro.qmd
30,BROKEN,No connection adapters were found for '(https://seaborn.pydata.org/index.html)',(https://seaborn.pydata.org/index.html),.\Python\3-intro_visualisation\visualisation.ipynb
42,EXEMPT,Unsupported link type for checking.,#slicing,.\Python\5-python_toolkit\python_toolkit.qmd
41,EXEMPT,Unsupported link type for checking.,#loops,.\Python\5-python_toolkit\python_toolkit.qmd
40,EXEMPT,Unsupported link type for checking.,#file-io,.\Python\5-python_toolkit\python_toolkit.qmd
39,EXEMPT,Unsupported link type for checking.,#raise,.\Python\5-python_toolkit\python_toolkit.qmd
38,EXEMPT,Unsupported link type for checking.,#conditionals,.\Python\5-python_toolkit\python_toolkit.qmd
36,EXEMPT,Unsupported link type for checking.,#os,.\Python\5-python_toolkit\python_toolkit.qmd
1,EXEMPT,Unsupported link type for checking.,yourname@email.com,.\Git\GitHub\GitHub_intro.qmd
31,EXEMPT,Unsupported link type for checking.,attachment:image.png,.\Python\4-stats_and_further_vis\stats_and_vis.ipynb
35,EXEMPT,Unsupported link type for checking.,mailto:training@library.uq.edu.au,.\Python\5-python_toolkit\python_toolkit.qmd
20,EXEMPT,Unsupported link type for checking.,#External-packages,.\Python\1-fundamentals\fundamentals.qmd
22,EXEMPT,Unsupported link type for checking.,training@library.uq.edu.au,.\Python\1-fundamentals\fundamentals.qmd
37,EXEMPT,Unsupported link type for checking.,#fstrings,.\Python\5-python_toolkit\python_toolkit.qmd
26,EXEMPT,Unsupported link type for checking.,attachment:image.png,.\Python\3-intro_visualisation\visualisation.ipynb
27,EXEMPT,Unsupported link type for checking.,attachment:image.png,.\Python\3-intro_visualisation\visualisation.ipynb
28,EXEMPT,Unsupported link type for checking.,attachment:image-2.png,.\Python\3-intro_visualisation\visualisation.ipynb
25,EXEMPT,Unsupported link type for checking.,training@library.uq.edu.au,.\Python\2-data_processing\data_processing.qmd
19,VALID on 2025-09-18,HTTP response: 403,https://github.com/uqlibrary/technology-training/assets/118239146/a8ba8293-c64b-4994-9869-074a6d12e0a0,.\Python\1-fundamentals\fundamentals.qmd
13,VALID on 2025-09-18,HTTP response: 403,https://tasks.hotosm.org/explore?omitMapResults=1&difficulty=EASY,.\OSM\OpenStreetMap.qmd
62,VALID on 2025-09-18,HTTP response: 403,http://www.environment.gov.au/fed/catalog/main/home.page,.\QGIS\vector\QGIS_vector.qmd
63,VALID on 2025-09-18,HTTP response: 403,http://www.environment.gov.au/fed/catalog/search/resource/details.page?uuid=%7B4448CACD-9DA8-43D1-A48F-48149FD5FCFD%7D,.\QGIS\vector\QGIS_vector.qmd
76,VALID on 2025-09-18,Manually verify,link,.\R\reports\reports.qmd
11,VALID on 2025-09-18,HTTP response: 403,https://java.com/en/,.\OpenRefine\openrefine.qmd
81,VALID on 2025-09-18,HTTP response: 404,https://datacatalog.worldbank.org/dataset/climate-change-data,.\R\tidyverse_next_steps\tidyverse_next_steps.qmd
45,VALID on 2025-09-18,HTTP response: 405,https://admin.nearmap.com/invitation/domain-signup?token=q9WIbXMtna1iskb2meNGhKpCaQp3WTRbMhXpQVGWkKouKUeqzkpjNznC_Ogz5iKYiw0Ev7vym2Ykaj_W_V4dBbTzR6qUX2eTDsNHpBuR4XbU9vDRxQN_Rg==,.\QGIS\fieldwork\QGIS_fieldwork.qmd
