,flag,message,link,source
113,BROKEN,"HTTPSConnectionPool(host='www.anzlic.gov.au', port=443): Read timed out. (read timeout=10)",https://www.icsm.gov.au/gda2020,./QGIS/raster/QGIS_raster.qmd
23,BROKEN,HTTP response: 404,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,./Python/2-data_processing/data_processing.qmd
64,BROKEN,"HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=10)",https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-2022/national-inventory-by-economic-sector-2022,./R/reports/reports.qmd
62,BROKEN,HTTP response: 404,https://github.com/uqlibrary/technology-training/blob/master/R/usefullinks.md,./R/rstudio_intro/rstudio_intro.qmd
61,BROKEN,FileNotFoundError,../../README.md#r-sessions,./R/rstudio_intro/rstudio_intro.qmd
34,BROKEN,HTTP response: 404,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,./Python/3-intro_visualisation/visualisation.qmd
36,BROKEN,HTTP response: 404,https://github.com/uqlibrary/technology-training/blob/master/Python/useful_links.md,./Python/4-stats_and_further_vis/stats_and_vis.qmd
48,BROKEN,HTTP response: 404,https://exercism.io/my/tracks/bash,./Shell/shell_intro.qmd
110,BROKEN,"HTTPSConnectionPool(host='services2.arcgis.com', port=443): Read timed out. (read timeout=10)",https://services2.arcgis.com/dEKgZETqwmDAh1rP/ArcGIS/rest/services,./QGIS/reports/QGIS_reports.qmd
46,BROKEN,HTTP response: 404,https://swcarpentry.github.io/shell-novice/data/data-shell.zip,./Shell/shell_intro.qmd
57,CHECK,HTTP response: 403,https://bookdown.org/steve_midway/DAR/part-ii-analysis.html,./R/ANOVA-lm/anova-lm.qmd
56,CHECK,HTTP response: 403,https://bookdown.org/steve_midway/DAR/understanding-anova-in-r.html#multiple-comparisons,./R/ANOVA-lm/anova-lm.qmd
52,CHECK,HTTP response: 403,https://www.datacamp.com/doc/r/category/r-documentation,./R/usefullinks.qmd
47,CHECK,HTTP response: 405,https://www.cheatsheet.wtf/bash/,./Shell/shell_intro.qmd
45,EXEMPT,Unsupported link type for checking.,#slicing,./Python/5-python_toolkit/python_toolkit.qmd
77,EXEMPT,Unsupported link type for checking.,yourname@email.com,./Git/GitHub/GitHub_intro.qmd
29,EXEMPT,Unsupported link type for checking.,#External-packages,./Python/1-fundamentals/fundamentals.qmd
44,EXEMPT,Unsupported link type for checking.,#loops,./Python/5-python_toolkit/python_toolkit.qmd
38,EXEMPT,Unsupported link type for checking.,mailto:training@library.uq.edu.au,./Python/5-python_toolkit/python_toolkit.qmd
39,EXEMPT,Unsupported link type for checking.,#os,./Python/5-python_toolkit/python_toolkit.qmd
32,EXEMPT,Unsupported link type for checking.,training@library.uq.edu.au,./Python/1-fundamentals/fundamentals.qmd
41,EXEMPT,Unsupported link type for checking.,#conditionals,./Python/5-python_toolkit/python_toolkit.qmd
42,EXEMPT,Unsupported link type for checking.,#raise,./Python/5-python_toolkit/python_toolkit.qmd
43,EXEMPT,Unsupported link type for checking.,#file-io,./Python/5-python_toolkit/python_toolkit.qmd
40,EXEMPT,Unsupported link type for checking.,#fstrings,./Python/5-python_toolkit/python_toolkit.qmd
22,EXEMPT,Unsupported link type for checking.,training@library.uq.edu.au,./Python/2-data_processing/data_processing.qmd
51,VALID on 2025-09-18,HTTP response: 403,https://java.com/en/,./OpenRefine/openrefine.qmd
50,VALID on 2025-09-18,HTTP response: 403,https://tasks.hotosm.org/explore?omitMapResults=1&difficulty=EASY,./OSM/OpenStreetMap.qmd
28,VALID on 2025-09-18,HTTP response: 403,https://github.com/uqlibrary/technology-training/assets/118239146/a8ba8293-c64b-4994-9869-074a6d12e0a0,./Python/1-fundamentals/fundamentals.qmd
65,VALID on 2025-09-18,Manually verify,link,./R/reports/reports.qmd
71,VALID on 2025-09-18,HTTP response: 404,https://datacatalog.worldbank.org/dataset/climate-change-data,./R/tidyverse_next_steps/tidyverse_next_steps.qmd
82,VALID on 2025-09-18,HTTP response: 403,http://www.environment.gov.au/fed/catalog/main/home.page,./QGIS/vector/QGIS_vector.qmd
83,VALID on 2025-09-18,HTTP response: 403,http://www.environment.gov.au/fed/catalog/search/resource/details.page?uuid=%7B4448CACD-9DA8-43D1-A48F-48149FD5FCFD%7D,./QGIS/vector/QGIS_vector.qmd
96,VALID on 2025-09-18,HTTP response: 405,https://admin.nearmap.com/invitation/domain-signup?token=q9WIbXMtna1iskb2meNGhKpCaQp3WTRbMhXpQVGWkKouKUeqzkpjNznC_Ogz5iKYiw0Ev7vym2Ykaj_W_V4dBbTzR6qUX2eTDsNHpBuR4XbU9vDRxQN_Rg==,./QGIS/fieldwork/QGIS_fieldwork.qmd
