,link,date
0,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops/online-and-person-workshops#keyword=;campus=;weekstart=,2026-01-09
1,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops/software-training-resources,2026-01-09
2,https://creativecommons.org/licenses/by/4.0/,2026-01-09
3,https://github.com/uqlibrary/technology-training/?tab=readme-ov-file#contributing,2026-01-09
4,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops,2026-01-09
5,https://cbcs.centre.uq.edu.au/events,2026-01-09
6,https://cbcs.centre.uq.edu.au/events-and-seminars/r-workshops-uq,2026-01-09
7,https://research-support.uq.edu.au/resources-and-support/facilities-and-infrastructure/data-science-collaborative-research-platform,2026-01-09
8,https://cdf.graduate-school.uq.edu.au/events/research-skills,2026-01-09
9,https://ladal.edu.au/,2026-01-09
10,https://rcc.uq.edu.au/training-support/training-courses,2026-01-09
11,https://carpentries.org/,2026-01-09
12,https://carpentries.org/workshops/upcoming-workshops/,2026-01-09
13,https://www.openstreetmap.org/,2026-01-09
14,https://www.openstreetmap.org,2026-01-09
15,https://www.openstreetmap.org,2026-01-09
16,https://www.openstreetbrowser.org,2026-01-09
17,https://overpass-turbo.eu/,2026-01-09
18,https://cran.r-project.org/web/packages/osmdata/index.html,2026-01-09
19,https://cran.r-project.org/web/packages/osmextract/index.html,2026-01-09
20,https://wiki.openstreetmap.org/wiki/Brisbane,2026-01-09
21,https://www.openstreetmap.org/diary,2026-01-09
22,https://www.missingmaps.org/,2026-01-09
23,https://docs.qgis.org/latest/en/docs/training_manual/index.html,2026-01-09
24,https://openrefine.org/,2026-01-09
25,https://openrefine.org/download,2026-01-09
26,https://docs.openrefine.org/manual/cellediting#clustering-methods,2026-01-09
27,https://docs.openrefine.org/manual/running#starting-and-exiting,2026-01-09
28,https://creativecommons.org/licenses/by/4.0/,2026-01-09
29,https://creativecommons.org/licenses/by/4.0/legalcode,2026-01-09
30,https://creativecommons.org/licenses/by/4.0/,2026-01-09
31,https://downgit.github.io/#/home?url=https://github.com/uqlibrary/technology-training/tree/master/Audacity/audacity_project,2026-01-09
32,https://es.wikipedia.org/wiki/Carlos_Valderrama_Herrera,2026-01-09
33,https://en.wikipedia.org/wiki/Lucille_Hegamin,2026-01-09
34,https://github.com/uqlibrary/technology-training-assets/raw/master/PowerPoint/powerpoint_workshop.pdf,2026-01-09
35,https://github.com/uqlibrary/technology-training-assets/raw/master/PowerPoint/powerpoint_workshop.zip,2026-01-09
36,https://my.uq.edu.au/information-and-services/information-technology/software-and-web-apps/uq-software-catalogue/adobe-software,2026-01-09
37,https://github.com/uqlibrary/technology-training-assets/raw/master/Photoshop/photoshop.pdf,2026-01-09
38,https://github.com/uqlibrary/technology-training-assets/raw/master/Photoshop/PhotoshopImages.zip,2026-01-09
39,https://gitlab.com/stragu/CDS/blob/master/Shell/installation.md,2026-01-09
40,https://en.wikipedia.org/wiki/Recursion,2026-01-09
41,https://swcarpentry.github.io/shell-novice/,2026-01-09
42,https://swcarpentry.github.io/shell-novice/,2026-01-09
43,http://carpentries.org/,2026-01-09
44,https://software-carpentry.org/license/,2026-01-09
45,https://creativecommons.org/licenses/by/4.0/legalcode,2026-01-09
46,https://wiki.openstreetmap.org/wiki/UMap/Guide,2026-01-09
47,https://discover.umap-project.org/,2026-01-09
48,https://docs.umap-project.org/en/stable/,2026-01-09
49,https://web.library.uq.edu.au/study-and-learning-support/ai-student-hub,2026-01-09
50,https://mapschool.io/,2026-01-09
51,https://qgis.org/download/,2026-01-09
52,https://github.com/uqlibrary/technology-training-assets/raw/refs/heads/master/QGIS/vector/vector_data.zip,2026-01-09
53,https://www.ala.org.au/,2026-01-09
54,https://qldspatial.information.qld.gov.au/catalogue/custom/index.page,2026-01-09
