"id","time_observed_at","time_zone","quality_grade","license","url","description","latitude","longitude","positional_accuracy","public_positional_accuracy","scientific_name","common_name"
8683026,"2004-10-29 13:00:00 UTC","Eastern Time (US & Canada)","research","CC-BY-NC","https://www.inaturalist.org/observations/8683026","City Botanic Gardens, Brisbane, Australia",-27.4740555556,153.0289444444,30,30,"Threskiornis molucca","Australian White Ibis"
30294744,"2019-08-06 07:11:45 UTC","Brisbane","casual","CC-BY-NC","https://www.inaturalist.org/observations/30294744","why is he in my yard",-27.4576808559,153.014716711,30,30,"Threskiornis molucca","Australian White Ibis"
44644855,"2020-05-02 21:14:58 UTC","Brisbane","research","CC0","https://www.inaturalist.org/observations/44644855",,-27.54869667,153.02418617,30,30,"Threskiornis molucca","Australian White Ibis"
50626338,"2020-06-23 02:15:02 UTC","Brisbane","research","CC-BY-NC","https://www.inaturalist.org/observations/50626338",,-27.4604887096,153.053700356,30,30,"Threskiornis molucca","Australian White Ibis"
85602262,"2017-09-30 10:01:00 UTC","Paris","research","CC-BY-NC","https://www.inaturalist.org/observations/85602262",,-27.4703611111,153.0175638889,30,30,"Threskiornis molucca","Australian White Ibis"
98393333,"2018-02-17 22:07:00 UTC","Pacific Time (US & Canada)","research","CC-BY","https://www.inaturalist.org/observations/98393333",,-27.4866635268,153.0298622551,30,30,"Threskiornis molucca","Australian White Ibis"
167498693,"2023-06-10 05:57:08 UTC","Brisbane","research","CC-BY-NC","https://www.inaturalist.org/observations/167498693",,-27.4696883333,153.0541833333,30,30,"Threskiornis molucca","Australian White Ibis"
213662371,"2024-05-05 03:23:24 UTC","Brisbane","research","CC-BY","https://www.inaturalist.org/observations/213662371","Don't often see them sitting down",-27.4777833333,153.0222945,30,30,"Threskiornis molucca","Australian White Ibis"
218305893,"2024-05-26 00:09:00 UTC","Brisbane","research","CC-BY-NC","https://www.inaturalist.org/observations/218305893",,-27.4802641198,152.9702395853,30,30,"Threskiornis molucca","Australian White Ibis"
223014452,"2024-06-16 03:42:11 UTC","Brisbane","research","CC-BY-NC","https://www.inaturalist.org/observations/223014452",,-27.463445,153.0295555,30,30,"Threskiornis molucca","Australian White Ibis"
27363926,"2019-06-21 04:11:59 UTC","Brisbane","research",,"https://www.inaturalist.org/observations/27363926",,-27.478272,153.029623,29,29,"Threskiornis molucca","Australian White Ibis"
49777053,"2020-06-15 22:43:24 UTC","Brisbane","research",,"https://www.inaturalist.org/observations/49777053",,-27.48366667,153.0271305,29,29,"Threskiornis molucca","Australian White Ibis"
166534225,"2023-06-10 04:55:10 UTC","Brisbane","research",,"https://www.inaturalist.org/observations/166534225",,-27.4987732651,153.0172428489,29,29,"Threskiornis molucca","Australian White Ibis"
150199058,"2023-03-04 05:24:22 UTC","Brisbane","research","CC-BY-NC","https://www.inaturalist.org/observations/150199058","Toowong/Mt Coot-Tha (Gootcha/Kuta),
Brisbane (Meanjin)",-27.475972816,152.9787145821,28,28,"Threskiornis molucca","Australian White Ibis"
225261320,"2024-06-26 03:01:00 UTC","Brisbane","research",,"https://www.inaturalist.org/observations/225261320",,-27.4755622236,152.9786819601,28,28,"Threskiornis molucca","Australian White Ibis"
